race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2017072307030812,2017,07,18,18,18,17,18,17,0,0,1
2017072904020112,2017,04,15,15,15,14,15,14,0,0,1
2017072910020111,2017,10,16,16,16,15,16,15,0,0,1
2017080601010409,2017,01,13,13,13,12,13,12,0,12,1
2017080601010412,2017,01,12,12,12,11,12,11,0,11,1
2017081301010606,2017,01,12,12,12,11,12,11,0,0,1
2017081301010612,2017,01,14,14,14,13,14,13,0,0,1
2017081304020612,2017,04,18,18,18,17,18,17,0,0,1
2017081904020701,2017,04,14,14,14,13,14,13,0,0,1
2017081910020709,2017,10,16,16,16,15,16,15,0,0,1
2017082001020212,2017,01,16,16,16,15,16,15,0,0,1
2017082610020906,2017,10,16,16,16,15,16,15,0,15,1
2017082610020908,2017,10,15,15,15,14,15,14,0,14,1
2017082701020404,2017,01,14,14,14,13,14,13,0,13,1
2017082704021004,2017,04,15,15,15,14,15,14,0,0,1
2017090201020501,2017,01,14,14,14,13,14,13,0,0,1
2017090204021109,2017,04,18,18,18,17,18,17,0,0,1
2017090301020605,2017,01,16,16,16,15,16,15,0,0,1
2017090906040106,2017,06,16,16,16,15,16,15,0,0,1
2017091006040211,2017,06,16,16,16,15,16,15,0,0,1
2017091706040402,2017,06,16,16,16,15,16,15,0,0,1
2017091706040406,2017,06,16,16,16,15,16,15,0,0,1
2017091706040408,2017,06,16,16,16,15,16,15,0,0,1
2017091709040406,2017,09,16,16,16,15,16,15,0,0,1
2017092306040611,2017,06,16,16,16,15,16,15,0,15,1
2017092309040606,2017,09,16,16,16,15,16,15,0,0,1
2017093006040807,2017,06,16,16,16,15,16,15,0,15,1
2017093009040810,2017,09,16,16,16,15,16,15,0,0,1
2017100106040912,2017,06,16,16,16,15,16,15,0,0,1
2017100708040104,2017,08,14,14,14,13,14,13,0,0,1
2017100708040110,2017,08,15,15,15,14,15,14,0,0,1
2017101408040412,2017,08,12,12,12,11,12,11,0,0,1
2017102108040601,2017,08,11,11,11,10,11,10,0,0,1
2017102204030406,2017,04,15,15,15,14,15,14,0,0,1
2017102205040712,2017,05,15,15,15,14,15,14,0,14,1
2017102208040705,2017,08,13,13,13,12,13,12,0,12,1
2017102805040808,2017,05,13,13,13,12,13,12,0,0,1
2017102905040907,2017,05,15,15,15,14,15,14,0,0,1
