target,feature_set,importance_type,feature,importance,sample_rows
win,market_free,mean_abs_shap,JyokenCD5,0.035741492934,5000
win,market_free,mean_abs_shap,Kaiji,0.009134752187,5000
win,market_free,mean_abs_shap,KisyuCode,0.053239806972,5000
win,market_free,mean_abs_shap,Kyori,0.067855099269,5000
win,market_free,mean_abs_shap,MonthDay,0.022354291393,5000
win,market_free,mean_abs_shap,Nichiji,0.00983147045,5000
win,market_free,mean_abs_shap,RaceNum,0.020513163224,5000
win,market_free,mean_abs_shap,SexCD,0.018347172059,5000
win,market_free,mean_abs_shap,SibaBabaCD,0.0,5000
win,market_free,mean_abs_shap,SyubetuCD,0.011414819213,5000
win,market_free,mean_abs_shap,SyussoTosu,0.081264588938,5000
win,market_free,mean_abs_shap,TenkoCD,0.02933932709,5000
win,market_free,mean_abs_shap,TorokuTosu,0.048366620389,5000
win,market_free,mean_abs_shap,TrackCD,0.010402663994,5000
win,market_free,mean_abs_shap,Umaban,0.005986849934,5000
win,market_free,mean_abs_shap,Wakuban,0.010952317472,5000
win,market_free,mean_abs_shap,Year,0.007399675338,5000
win,market_free,mean_abs_shap,YoubiCD,0.01026411097,5000
win,market_free,mean_abs_shap,ZogenFugo,0.005723266187,5000
win,market_free,mean_abs_shap,ZogenSa,0.003562637079,5000
win,market_free,mean_abs_shap,horse_baba_past_starts,0.015045842862,5000
win,market_free,mean_abs_shap,horse_baba_top3_rate,0.021667622305,5000
win,market_free,mean_abs_shap,horse_baba_win_rate,0.049535154928,5000
win,market_free,mean_abs_shap,horse_body_weight_diff_last,0.005450240071,5000
win,market_free,mean_abs_shap,horse_days_since_last,0.060422030456,5000
