data_split,bin_type,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
validation,quantile,8,0.11161525489446873,0.1707235955598564,4675,0.1374626749653982,0.14759358288770053,0.010130907922302312,win,market_aware
validation,quantile,9,0.17074629907229502,0.791913129430867,4675,0.2603855320225066,0.27807486631016043,0.017689334287653846,win,market_aware
test,quantile,0,0.0009252021230560433,0.007277784358199754,4750,0.004821339933939333,0.0029473684210526317,-0.0018739715128867013,win,market_aware
test,quantile,1,0.007278239278276214,0.0132131407012764,4750,0.010113341552823634,0.009263157894736843,-0.0008501836580867908,win,market_aware
test,quantile,2,0.013213733064228099,0.020543991425343616,4750,0.016736519346841457,0.017052631578947368,0.0003161122321059112,win,market_aware
test,quantile,3,0.020548184572774585,0.029427037540045838,4749,0.02481730722573592,0.02505790692777427,0.00024059970203834866,win,market_aware
test,quantile,4,0.029427225739142426,0.04058227261738436,4750,0.034702174035683604,0.03621052631578947,0.0015083522801058666,win,market_aware
test,quantile,5,0.0405835743523926,0.05573553799174041,4750,0.047810699792227594,0.051157894736842104,0.0033471949446145094,win,market_aware
test,quantile,6,0.055739818347918454,0.07608184661346577,4749,0.06542524924242595,0.06801431880395872,0.002589069561532778,win,market_aware
test,quantile,7,0.07608244592781485,0.1065365736929507,4750,0.0900177302023795,0.10568421052631578,0.015666480323936277,win,market_aware
test,quantile,8,0.10654455072090513,0.16282086275750995,4750,0.13130497655906445,0.1383157894736842,0.007010812914619746,win,market_aware
test,quantile,9,0.1628301119453745,0.7336314137513068,4749,0.2493737276380746,0.2750052642661613,0.025631536628086676,win,market_aware
latest_holdout,quantile,0,0.0009486634389814365,0.006341137569194322,2128,0.004270763719417374,0.0037593984962406013,-0.0005113652231767728,win,market_aware
latest_holdout,quantile,1,0.006341954000412402,0.011569935672249693,2128,0.00883519062102256,0.007988721804511278,-0.0008464688165112817,win,market_aware
latest_holdout,quantile,2,0.011570736314274719,0.018245503133831074,2127,0.014817673312443139,0.014104372355430184,-0.000713300957012955,win,market_aware
latest_holdout,quantile,3,0.018248431561500154,0.0262106844592912,2128,0.022043888883828473,0.023966165413533833,0.00192227652970536,win,market_aware
latest_holdout,quantile,4,0.02621296312075215,0.03649193086111234,2127,0.031039902209943526,0.029619181946403384,-0.0014207202635401414,win,market_aware
latest_holdout,quantile,5,0.036495872714255875,0.05142982832631896,2128,0.04351595985064215,0.048402255639097745,0.004886295788455598,win,market_aware
latest_holdout,quantile,6,0.0514358917484524,0.0721975771407866,2128,0.06111469890834344,0.06766917293233082,0.006554474023987386,win,market_aware
